RANK,TOTALS,W/M,W/F,B/M,B/F,H/M,H/F,A/M,A/F
SWORN OFFICERS:,****,****,****,****,****,****,****,****,****
  SUPERINTENDENT-IN-CHIEF,1,1,0,0,0,0,0,0,0
  SUPERINTENDENT,9,3,1,2,2,1,0,0,0
  DEPUTY SUPERINTENDENT,13,5,1,3,2,1,0,1,0
  CAPTAIN,23,21,0,2,0,0,0,0,0
  TEMPORARY CAPTAIN,0,0,0,0,0,0,0,0,0
  CAPTAIN DETECTIVE,3,2,1,0,0,0,0,0,0
  LIEUTENANT,52,48,4,0,0,0,0,0,0
  TEMPORARY LIEUTENANT,0,0,0,0,0,0,0,0,0
  LIEUTENANT DETECTIVE,24,19,3,2,0,0,0,0,0
  SERGEANT,186,150,7,12,3,11,2,1,0
  SERGEANT DETECTIVE,108,64,2,27,3,7,2,3,0
  DETECTIVE,280,146,27,60,17,18,5,7,0
  PATROL OFFICERS,"1,398",764,102,230,76,155,29,35,7
SWORN SUBTOTAL,"2,097","1,223",148,338,103,193,38,47,7
,,,,,,,,,
RECRUIT OFFICERS:,, ,,,,,,,
  CLASS 61-21,87,40,7,18,5,12,3,2,0
Reinstated Officers,0,0,0,0,0,0,0,0,0
   Laterals & Previously Trained PO's,0,0,0,0,0,0,0,0,0
RECRUIT SUBTOTAL,87,40,7,18,5,12,3,2,0
,,,,,,,,,
UNIFORMED TOTAL,"2,184","1,263",155,356,108,205,41,49,7
,,,,,,,,,
CIVILIAN PERSONNEL:,,,,,, , ,,
CIVILIANS,504,130,176,23,86,29,39,13,8
 POLICE CADETS,21,5,4,7,2,2,1,0,0
SCHOOL TRAFFIC SUPERVISORS,173,15,73,7,54,2,22,0,0
CIVILIAN SUBTOTAL,698,150,253,37,142,33,62,13,8
,,,,,,,,,
BPD PERSONNEL TOTAL,"2,882","1,413",408,393,250,238,103,62,15
RANK,,W/M,W/F,B/M,B/F,H/M,H/F,A/M,A/F
SWORN OFFICERS:,,,,,,,,,
  SUPERINTENDENT-IN-CHIEF,,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
  SUPERINTENDENT,,33.3%,11.1%,22.2%,22.2%,11.1%,0.0%,0.0%,0.0%
  DEPUTY SUPERINTENDENT,,38.5%,7.7%,23.1%,15.4%,7.7%,0.0%,7.7%,0.0%
  CAPTAIN,,91.3%,0.0%,8.7%,0.0%,0.0%,0.0%,0.0%,0.0%
  TEMPORARY CAPTAIN,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
  CAPTAIN DETECTIVE,,66.7%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
  LIEUTENANT,,92.3%,7.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
  TEMPORARY LIEUTENANT,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
  LIEUTENANT DETECTIVE,,79.2%,12.5%,8.3%,0.0%,0.0%,0.0%,0.0%,0.0%
  SERGEANT,,80.6%,3.8%,6.5%,1.6%,5.9%,1.1%,0.5%,0.0%
  SERGEANT DETECTIVE,,59.3%,1.9%,25.0%,2.8%,6.5%,1.9%,2.8%,0.0%
  DETECTIVE,,52.1%,9.6%,21.4%,6.1%,6.4%,1.8%,2.5%,0.0%
  PATROL OFFICERS,,54.6%,7.3%,16.5%,5.4%,11.1%,2.1%,2.5%,0.5%
SWORN SUBTOTAL,,58.3%,7.1%,16.1%,4.9%,9.2%,1.8%,2.2%,0.3%
,,,,,,,,,
RECRUIT OFFICERS:,,,,,,,,,
  CLASS 61.21,,46.0%,8.0%,20.7%,5.7%,13.8%,3.4%,2.3%,0.0%
Reinstated Officers,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
   Laterals & Previously Trained PO's,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
RECRUIT SUBTOTAL,,46.0%,8.0%,20.7%,5.7%,13.8%,3.4%,2.3%,0.0%
,,,,,,,,,
UNIFORMED TOTAL,,57.8%,7.1%,16.3%,4.9%,9.4%,1.9%,2.2%,0.3%
,,,,,,,,,
CIVILIAN PERSONNEL:,,,,,,,,,
 CIVILIANS,,,34.9%,4.6%,17.1%,5.8%,7.7%,2.6%,1.6%
 POLICE CADETS,,1.0%,0.8%,1.4%,0.4%,0.4%,0.2%,0.0%,0.0%
 SCHOOL TRAFFIC SUPERVISORS,,8.7%,42.2%,4.0%,31.2%,1.2%,12.7%,0.0%,0.0%
CIVILIAN SUBTOTAL,,21.5%,36.2%,5.3%,20.3%,4.7%,8.9%,1.9%,1.1%
,,,,,,,,,
BPD PERSONNEL TOTAL,,49.0%,14.2%,13.6%,8.7%,8.3%,3.6%,2.2%,0.5%
