Cabinet,Dept,Program,Expense Category,FY21 Actual Expense,FY22 Actual Expense,FY23 Appropriation,FY24 Adopted
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Personnel Services,1820538.46,1624903.69,1584054.209,1921403.81
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Contractual Services,127557.82,284597.9,99314,219633.42
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Supplies & Materials,27318.17,28541.55,44938,55573.65
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Current Charges & Obligations,11365.77,19410.3,29630,16734.29
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Equipment,39040.6,16164.36,24900,36115
Mayor's Cabinet,Mayor's Office,Mayor's Executive,Personnel Services,403120.39,583859.32,377948.0895,387298.7
Mayor's Cabinet,Mayor's Office,Mayor's Executive,Contractual Services,-25,#Missing,#Missing,#Missing
Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Personnel Services,1603125.26,768993.95,1916580.116,1464593.364
Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Contractual Services,207821.35,253549.07,389079,174000
Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Supplies & Materials,#Missing,#Missing,#Missing,3000
Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Current Charges & Obligations,#Missing,1685.9,#Missing,2000
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Personnel Services,416898.77,438308.77,604730.0887,669210.3615
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Contractual Services,16082.69,583.44,28800,100000
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Supplies & Materials,2187.03,164.98,5961,6361
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Current Charges & Obligations,5856.76,1190.52,6400,4500
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Equipment,34717.16,22128,100,22000
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Personnel Services,708665.4,762365.75,1028638.497,1349000.703
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Contractual Services,294.75,123.21,0,70500
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Supplies & Materials,#Missing,#Missing,#Missing,3000
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Current Charges & Obligations,#Missing,980,7038,1000
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Equipment,#Missing,#Missing,#Missing,22500
Mayor's Cabinet,Election Department,Election Division,Personnel Services,3039194.23,3297454.25,3594396.974,4020353.741
Mayor's Cabinet,Election Department,Listing Board,Personnel Services,260842.69,289834.32,408508.9724,459903.9639
Mayor's Cabinet,Election Department,Election Division,Contractual Services,456905.6,841673.6,692160.01,1136484.81
Mayor's Cabinet,Election Department,Listing Board,Contractual Services,11584.64,36514.14,51897,60404
Mayor's Cabinet,Election Department,Election Division,Supplies & Materials,345480.24,815739.75,1264355.52,1385303
Mayor's Cabinet,Election Department,Listing Board,Supplies & Materials,223618.34,245386.94,270000,285700
Mayor's Cabinet,Election Department,Election Division,Current Charges & Obligations,104706.94,70739.98,158700,203924
Mayor's Cabinet,Election Department,Election Division,Equipment,343177.14,353922.49,416675.86,225999.24
Mayor's Cabinet,Intergovernmental Relations,IGR,Personnel Services,807260.78,677057.29,1045363.466,919295.9622
Mayor's Cabinet,Intergovernmental Relations,Grants Administration,Personnel Services,109715.94,113796.23,113456.6416,114856.5514
